policy,schd_time,sensors,start_soc,end_soc,exed,exe_time,priority,info
P3,2024-06-25 21:13:00,,88.0,89.0,True,2024-06-25 20:21:38,,[]
P3,2024-06-25 21:21:00,,95.0,95.0,True,2024-06-25 20:43:06,,[]
P3,2024-06-25 21:43:00,,96.0,96.0,True,2024-06-25 20:47:11,,[]
P3,2024-06-25 21:47:00,,97.0,97.0,True,2024-06-25 20:53:21,,[]
P3,2024-06-25 21:53:00,,99.0,99.0,True,2024-06-25 22:35:58,,[]
P3,2024-06-25 23:35:00,,99.0,99.0,True,2024-06-25 22:40:28,,[]
P3,2024-06-25 23:40:00,,99.0,99.0,True,2024-06-25 22:44:13,,[]
P3,2024-06-25 23:44:00,,99.0,99.0,True,2024-06-25 22:47:44,,[]
P3,2024-06-25 23:47:00,,98.0,97.0,True,2024-06-25 23:47:22,,[]
P3,2024-06-26 00:47:00,,97.0,96.0,True,2024-06-26 00:47:23,,[]
P3,2024-06-26 01:47:00,,96.0,95.0,True,2024-06-26 01:47:22,,[]
P3,2024-06-26 02:47:00,,95.0,94.0,True,2024-06-26 02:47:22,,[]
P3,2024-06-26 03:47:00,,94.0,92.0,True,2024-06-26 03:47:22,,[]
P3,2024-06-26 04:47:00,,93.0,92.0,True,2024-06-26 04:47:22,,[]
P3,2024-06-26 05:47:00,,92.0,91.0,True,2024-06-26 05:47:22,,[]
P3,2024-06-26 06:47:00,,91.0,90.0,True,2024-06-26 06:47:22,,[]
P3,2024-06-26 07:47:00,,91.0,90.0,True,2024-06-26 07:47:22,,[]
P3,2024-06-26 08:47:00,,90.0,89.0,True,2024-06-26 08:47:21,,[]
P3,2024-06-26 09:47:00,,93.0,92.0,True,2024-06-26 13:56:01,,[]
P3,2024-06-26 14:56:00,,91.0,90.0,True,2024-06-26 14:56:22,,[]
P3,2024-06-26 15:56:00,,88.0,89.0,True,2024-06-26 16:03:27,,[]
P3,2024-06-26 17:03:00,,89.0,89.0,True,2024-06-26 17:35:48,,[]
